"Fragmentation Test";QMM;1955;112084;"20131126 11:03:14.972"
"ReallocMem benchmark";QMM;4117;369108;"20131126 11:03:17.383"
"Fragmentation Test";QMM;1904;107176;"20131126 11:43:21.213"
"ReallocMem benchmark";QMM;4061;363176;"20131126 11:43:23.610"
"Small upsize benchmark";QMM;909;309928;"20131126 11:43:24.949"
"Small downsize benchmark";QMM;1503;646824;"20131126 11:43:26.469"
"Block size spread benchmark";QMM;2639;423592;"20131126 11:43:28.374"
"Raw Performance 1 thread";QMM;5125;147368;"20131126 11:43:31.125"
"Address space creep benchmark";QMM;18866;315048;"20131126 11:43:38.530"
"Large block spread benchmark";QMM;15897;428100;"20131126 11:43:44.929"
"Array Upsize 1 thread";QMM;14;43588;"20131126 11:43:45.943"
"Address space creep (larger blocks)";QMM;5154;470596;"20131126 11:43:48.700"
"Single-threaded reallocate and use";QMM;6497;207172;"20131126 11:43:51.914"
"Single-threaded allocate, use and free";QMM;10450;176452;"20131126 11:43:56.466"
"Single Variables Access 6 arrays at a time";QMM;15847;44940;"20131126 11:44:11.911"
"Double Variables Access 3 arrays at a time";QMM;4200;48784;"20131126 11:44:14.342"
"Double Variables Access 6 arrays at a time";QMM;4351;48784;"20131126 11:44:16.824"
"Double Variables Access 18 arrays at a time";QMM;6670;48784;"20131126 11:44:20.093"
"Move Benchmark1 2 arrays at a time";QMM;2164;61328;"20131126 11:44:21.838"
"Move Benchmark2 4 arrays at a time";QMM;2255;61328;"20131126 11:44:23.611"
FillCharMultiThread;QMM;571;46300;"20131126 11:44:24.812"
SortIntegerArrayBenchmark;QMM;3389;45020;"20131126 11:44:26.973"
SortExtendedArrayBenchmark;QMM;1657;49004;"20131126 11:44:28.546"
MemFree1;QMM;30057;69744;"20131126 11:44:39.749"
MemFree2;QMM;343;61552;"20131126 11:44:40.881"
"Linked-list container benchmark";QMM;2685;156528;"20131126 11:44:42.804"
"Multi-threaded allocate, use and free";QMM;6531;212540;"20131126 11:44:46.028"
"Multi-threaded reallocate and use";QMM;3440;141192;"20131126 11:44:48.203"
QuickSortIntegerArrayBenchmark;QMM;7379;97928;"20131126 11:44:51.716"
QuickSortExtendedArrayBenchmark;QMM;632;101768;"20131126 11:44:52.942"
"NexusDB with 1 thread(s)";QMM;13096;113288;"20131126 11:44:58.392"
"NexusDB with 2 thread(s)";QMM;6822;139144;"20131126 11:45:01.717"
"NexusDB with 4 thread(s)";QMM;3973;191880;"20131126 11:45:04.077"
"NexusDB with 8 thread(s)";QMM;4292;286088;"20131126 11:45:06.545"
"Transient threaded objects";QMM;21471;219528;"20131126 11:45:14.835"
"Raw Performance 8 threads";QMM;11170;194952;"20131126 11:45:19.631"
ManyShortLivedThreads;QMM;143530;152312;"20131126 11:46:09.299"
"Single-threaded AllocMem";QMM;140028;380408;"20131126 11:47:09.817"
"Fragmentation Test";D2010Mem;1842;85188;"20131126 11:54:53.268"
"ReallocMem benchmark";D2010Mem;3435;247236;"20131126 11:54:55.449"
"Block downsize";D2010Mem;6443;125892;"20131126 11:54:58.657"
"Small upsize benchmark";D2010Mem;703;253828;"20131126 11:54:59.942"
"Small downsize benchmark";D2010Mem;788;229508;"20131126 11:55:01.226"
"Block size spread benchmark";D2010Mem;644;165508;"20131126 11:55:02.455"
"Raw Performance 1 thread";D2010Mem;3433;115908;"20131126 11:55:04.628"
"Address space creep benchmark";D2010Mem;11512;184644;"20131126 11:55:09.542"
"Large block spread benchmark";D2010Mem;14611;313796;"20131126 11:55:15.504"
"Array Upsize 1 thread";D2010Mem;13;29776;"20131126 11:55:16.521"
"Address space creep (larger blocks)";D2010Mem;3295;384336;"20131126 11:55:18.653"
"Single-threaded reallocate and use";D2010Mem;7426;165456;"20131126 11:55:22.182"
"Single-threaded allocate, use and free";D2010Mem;7006;107856;"20131126 11:55:25.569"
"Single Variables Access 6 arrays at a time";D2010Mem;15889;32336;"20131126 11:55:41.007"
"Double Variables Access 3 arrays at a time";D2010Mem;4007;33616;"20131126 11:55:43.375"
"Double Variables Access 6 arrays at a time";D2010Mem;3862;33616;"20131126 11:55:45.694"
"Double Variables Access 18 arrays at a time";D2010Mem;4170;33616;"20131126 11:55:48.118"
"Move Benchmark1 2 arrays at a time";D2010Mem;2176;47952;"20131126 11:55:49.866"
"Move Benchmark2 4 arrays at a time";D2010Mem;2212;49232;"20131126 11:55:51.627"
FillCharMultiThread;D2010Mem;510;37968;"20131126 11:55:52.811"
SortIntegerArrayBenchmark;D2010Mem;3266;31056;"20131126 11:55:54.930"
SortExtendedArrayBenchmark;D2010Mem;1464;34896;"20131126 11:55:56.435"
MemFree1;D2010Mem;29742;31056;"20131126 11:56:07.527"
MemFree2;D2010Mem;295;31056;"20131126 11:56:08.642"
"Linked-list container benchmark";D2010Mem;966;100176;"20131126 11:56:09.983"
"Multi-threaded allocate, use and free";D2010Mem;9322;75856;"20131126 11:56:14.153"
"Multi-threaded reallocate and use";D2010Mem;3400;96016;"20131126 11:56:16.317"
QuickSortIntegerArrayBenchmark;D2010Mem;7353;32336;"20131126 11:56:19.823"
