"Fragmentation Test";D2010Mem;1803;64536;"20111011 19:35:45.752"
"ReallocMem benchmark";D2010Mem;3324;225304;"20111011 19:35:47.894"
"Block downsize";D2010Mem;6297;105240;"20111011 19:35:51.050"
"Small upsize benchmark";D2010Mem;670;231896;"20111011 19:35:52.323"
"Small downsize benchmark";D2010Mem;742;207576;"20111011 19:35:53.582"
"Block size spread benchmark";D2010Mem;628;144856;"20111011 19:35:54.804"
"Raw Performance 1 thread";D2010Mem;3361;93976;"20111011 19:35:56.950"
"Address space creep benchmark";D2010Mem;10622;162712;"20111011 19:36:01.557"
"Large block spread benchmark";D2010Mem;14727;293144;"20111011 19:36:07.557"
"Array Upsize 1 thread";D2010Mem;13;25624;"20111011 19:36:08.568"
"Address space creep (larger blocks)";D2010Mem;3102;380184;"20111011 19:36:10.627"
"Single-threaded reallocate and use";D2010Mem;7327;157144;"20111011 19:36:14.116"
"Single-threaded allocate, use and free";D2010Mem;6832;102424;"20111011 19:36:17.439"
"Single Variables Access 6 arrays at a time";D2010Mem;15360;28184;"20111011 19:36:32.669"
"Double Variables Access 3 arrays at a time";D2010Mem;3891;28184;"20111011 19:36:34.993"
"Double Variables Access 6 arrays at a time";D2010Mem;3759;28184;"20111011 19:36:37.273"
"Double Variables Access 18 arrays at a time";D2010Mem;4039;28184;"20111011 19:36:39.647"
"Move Benchmark1 2 arrays at a time";D2010Mem;2084;42520;"20111011 19:36:41.359"
"Move Benchmark2 4 arrays at a time";D2010Mem;2132;43544;"20111011 19:36:43.089"
FillCharMultiThread;D2010Mem;499;33816;"20111011 19:36:44.263"
SortIntegerArrayBenchmark;D2010Mem;3239;26904;"20111011 19:36:46.367"
SortExtendedArrayBenchmark;D2010Mem;1537;30744;"20111011 19:36:47.895"
MemFree1;D2010Mem;29762;26904;"20111011 19:36:58.991"
MemFree2;D2010Mem;294;26904;"20111011 19:37:00.098"
"Linked-list container benchmark";D2010Mem;884;94744;"20111011 19:37:01.404"
"Multi-threaded allocate, use and free";D2010Mem;7584;71704;"20111011 19:37:04.980"
"Multi-threaded reallocate and use";D2010Mem;2980;88344;"20111011 19:37:06.996"
QuickSortIntegerArrayBenchmark;D2010Mem;7145;26904;"20111011 19:37:10.424"
QuickSortExtendedArrayBenchmark;D2010Mem;428;30744;"20111011 19:37:11.574"
"NexusDB with 1 thread(s)";D2010Mem;9959;42264;"20111011 19:37:15.956"
"NexusDB with 2 thread(s)";D2010Mem;9131;60184;"20111011 19:37:20.058"
"NexusDB with 4 thread(s)";D2010Mem;8665;97304;"20111011 19:37:24.000"
"NexusDB with 8 thread(s)";D2010Mem;7635;170264;"20111011 19:37:27.594"
"Transient threaded objects";D2010Mem;3362;149784;"20111011 19:37:29.739"
"Raw Performance 8 threads";D2010Mem;15139;101400;"20111011 19:37:35.876"
ManyShortLivedThreads;D2010Mem;2093;26648;"20111011 19:37:37.592"
StringThreadTest;D2010Mem;10502;26648;"20111011 19:37:42.159"
